evaluation_label,wavelength_nm,angle_deg,T_TE,T_TM,T_unpolarized,energy_residual,candidate_id,static_structure_id,topology
450nm,450.0,-50.0,0.0028699893789766212,0.03500662348787792,0.018938306433427272,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-49.0,0.0031065879036819215,0.03412287856037873,0.018614733232030327,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-48.0,0.0033690588512396502,0.03340884769429881,0.01838895327276923,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-47.0,0.003660888918882866,0.03285654796104272,0.018258718439962792,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-46.0,0.0039860873381634115,0.032459826119144455,0.018222956728653934,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-45.0,0.004349270943693564,0.032214309161439365,0.018281790052566464,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-44.0,0.004755763440283782,0.03211737022220745,0.01843656683124562,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-43.0,0.005211711050979265,0.03216811174859536,0.01868991139978731,5.551115123125783e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-42.0,0.005724216922763283,0.032367367024401086,0.019045791973582187,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-41.0,0.006301496792639224,0.03271772036337512,0.01950960857800717,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-40.0,0.006953058412670808,0.033223545451014476,0.02008830193184264,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-39.0,0.007689907003802236,0.03389106028066303,0.020790483642232634,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-38.0,0.008524778413375119,0.03472839574943399,0.021626587081404552,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-37.0,0.009472400482793861,0.03574567306553534,0.0226090367741646,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-36.0,0.010549781092303485,0.036955082440635605,0.023752431766469545,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-35.0,0.011776518022959731,0.038370951818180156,0.025073734920569943,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-34.0,0.013175120595749908,0.04000978929109223,0.02659245494342107,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-33.0,0.01477132527482188,0.04189027602861493,0.028330800651718405,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
