trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-66.77443590991125,6.002253784804184e-07
case,-0.7,-66.62949928935345,6.109513980350062e-07
case,-0.7,-66.48540618868022,6.184510508721858e-07
case,-0.7,-66.34214115368837,6.225867958838284e-07
case,-0.7,-66.19968918973962,6.232616906065246e-07
case,-0.7,-66.05803574287006,6.204219417294486e-07
case,-0.7,-65.91716668188604,6.140588671797941e-07
case,-0.7,-65.77706828138395,6.042102196545309e-07
case,-0.7,-65.6377272056365,5.909608302444062e-07
case,-0.7,-65.49913049329244,5.744425407803296e-07
case,-0.7,-65.36126554283915,5.548334046410538e-07
case,-0.7,-65.22412009878309,5.323561478742623e-07
case,-0.7,-65.0876822385048,5.072758954415955e-07
case,-0.7,-64.95194035974859,4.798971810014621e-07
case,-0.7,-64.81688316871022,4.505602726517861e-07
case,-0.7,-64.68249966868754,4.196368611902811e-07
case,-0.7,-64.5487791492625,3.875251714018828e-07
case,-0.7,-64.4157111759837,3.546445703138459e-07
case,-0.7,-64.28328558052225,3.214297589126836e-07
case,-0.7,-64.15149245127412,2.883246451286502e-07
case,-0.7,-64.02032212438473,2.5577600560041517e-07
case,-0.7,-63.88976517517275,2.2422705148730183e-07
case,-0.7,-63.75981240993156,1.9411101907894543e-07
case,-0.7,-63.630454858088555,1.6584490888311229e-07
case,-0.7,-63.501683764702946,1.3982349702553801e-07
case,-0.7,-63.37349058328467,1.1641374000972084e-07
case,-0.7,-63.24586696891765,9.594968807339357e-08
case,-0.7,-63.118804771672075,7.872801353883925e-08
case,-0.7,-62.99229603029031,6.500424877223561e-08
case,-0.7,-62.866332966133506,5.498981382059944e-08
case,-0.7,-62.74090797737537,4.8849896753272995e-08
case,-0.7,-62.616013633430946,4.670223055615202e-08
case,-0.7,-62.49164266960896,4.8616789550679386e-08
case,-0.7,-62.367787981976925,5.4616406247428655e-08
case,-0.7,-62.2444426224285,6.467828686618616e-08
case,-0.7,-62.12159979394388,7.873638107445086e-08
case,-0.7,-61.999252846033514,9.668453945337022e-08
case,-0.7,-61.87739527035707,1.1838037143963916e-07
case,-0.7,-61.756020696509225,1.4364969764480243e-07
case,-0.7,-61.63512288796456,1.7229147411573852e-07
case,-0.7,-61.51469573817442,2.0408305281253077e-07
case,-0.7,-61.39473326680869,2.387856328087298e-07
case,-0.7,-61.275229616136194,2.761497508388034e-07
case,-0.7,-61.15617904753717,3.1592065809666323e-07
case,-0.7,-61.03757593814228,3.578434327780741e-07
case,-0.7,-60.91941477759251,4.016676847832662e-07
case,-0.7,-60.801690164914675,4.471517201493995e-07
case,-0.7,-60.684396805507426,4.940660479315979e-07
case,-0.7,-60.56752950823321,5.421961310372221e-07
case,-0.7,-60.45108318261152,5.913443044662194e-07
case,-0.7,-60.33505283610929,6.413308089427484e-07
case,-0.7,-60.219433571524206,6.919939143749046e-07
case,-0.7,-60.104220584457096,7.431891352175936e-07
case,-0.7,-59.98940916086991,7.947875678598921e-07
case,-0.7,-59.87499467472562,8.466734078111968e-07
case,-0.7,-59.76097258570651,8.987407309205762e-07
case,-0.7,-59.64733843700814,9.508896473571926e-07
case,-0.7,-59.534087853205754,1.0030219588821552e-06
case,-0.7,-59.42121653818987,1.055036468400903e-06
case,-0.7,-59.30872027316898,1.1068241053384242e-06
case,-0.7,-59.19659491473636,1.1582630405733902e-06
case,-0.7,-59.084836392998334,1.2092139701690786e-06
case,-0.7,-58.97344070976207,1.2595157477464321e-06
case,-0.7,-58.86240393678012,1.308981540991481e-06
case,-0.7,-58.751722214049956,1.357395678546036e-06
case,-0.7,-58.64139174816628,1.4045113396008934e-06
case,-0.7,-58.531408810723825,1.4500492202249367e-06
case,-0.7,-58.42176973676931,1.4936972882670215e-06
case,-0.7,-58.312470923300324,1.5351117131068358e-06
case,-0.7,-58.20350882780943,1.5739190282368112e-06
case,-0.7,-58.09487996687213,1.6097195543258453e-06
case,-0.7,-57.98658091477663,1.6420920787879098e-06
case,-0.7,-57.87860830219438,1.6705997557200608e-06
case,-0.7,-57.770958814889624,1.6947971581533493e-06
case,-0.7,-57.663629192466495,1.7142383836283333e-06
case,-0.7,-57.55661622715268,1.7284860848809098e-06
case,-0.7,-57.44991676261811,1.737121270567787e-06
case,-0.7,-57.34352769282732,1.7397536970716826e-06
case,-0.7,-57.237445960924745,1.7360326520232356e-06
case,-0.7,-57.13166855815133,1.7256579136911149e-06
case,-0.7,-57.026192522791696,1.7083906581625327e-06
case,-0.7,-56.92101493915078,1.684064078505295e-06
case,-0.7,-56.816132936558745,1.6525934770153012e-06
case,-0.7,-56.71154368840345,1.6139855932615314e-06
case,-0.7,-56.607244411189534,1.5683469369054946e-06
case,-0.7,-56.503232363622914,1.5158909050720165e-06
case,-0.7,-56.399504845720315,1.456943479184806e-06
case,-0.7,-56.29605919794279,1.3919473153880944e-06
case,-0.7,-56.192892800352176,1.3214640656301103e-06
case,-0.7,-56.09000307179042,1.2461747928110095e-06
case,-0.7,-55.987387469080225,1.1668783726816592e-06
case,-0.7,-55.885043486246964,1.0844878069712406e-06
case,-0.7,-55.78296865376096,1.0000244060459926e-06
case,-0.7,-55.681160537799265,9.146098347630828e-07
case,-0.7,-55.57961673952677,8.294560515721626e-07
case,-0.7,-55.47833489439563,7.458532078115782e-07
case,-0.7,-55.37731267146262,6.65155611017319e-07
case,-0.7,-55.276547772724015,5.887658923774234e-07
case,-0.7,-55.176037932467004,5.181175536863768e-07
case,-0.7,-55.075780916637626,4.546561027472841e-07
case,-0.7,-54.97577452222446,3.9981901760057254e-07
case,-0.7,-54.87601657665749,3.550148086991943e-07
case,-0.7,-54.77650493722212,3.216014736835826e-07
case,-0.7,-54.67723749048727,3.008646612321551e-07
