operation,status,error
getnamed dbr::MDC.material index,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.far field filter,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::DBR.x,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.x span,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.y,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.y span,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.z,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.z span,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.enabled,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.monitor type,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.projection direction,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.material index,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.far field filter,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
getnamed dbr::DBR.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::DBR' can be found"""
