kind,lambda_nm,monitor,order_m,power_raw,state_air,state_substrate,u1
reflection,450.0,reflection_monitor,5,0.08799553045021645,PROPAGATING,PROPAGATING,0.4238707789574222
reflection,450.0,reflection_monitor,6,0.2995667907223097,PROPAGATING,PROPAGATING,0.605208580324563
reflection,450.0,reflection_monitor,7,0.08515952460276487,EVANESCENT,PROPAGATING,0.7865463816917039
reflection,450.0,reflection_monitor,8,0.11753400539256821,EVANESCENT,PROPAGATING,0.9678841830588447
transmission,450.9999999999999,transmission_monitor,-1,0.17859265906597968,PROPAGATING,PROPAGATING,-0.949312211197175
transmission,450.9999999999999,transmission_monitor,0,0.09898354472424466,PROPAGATING,PROPAGATING,-0.6901168088983245
transmission,450.9999999999999,transmission_monitor,1,0.17167791266960133,PROPAGATING,PROPAGATING,-0.4309214065994739
transmission,450.9999999999999,transmission_monitor,2,0.19215796129134033,PROPAGATING,PROPAGATING,-0.17172600430062332
transmission,450.9999999999999,transmission_monitor,3,0.04862277919017816,PROPAGATING,PROPAGATING,0.08746939799822728
transmission,450.9999999999999,transmission_monitor,4,0.06545696716248324,PROPAGATING,PROPAGATING,0.3466648002970778
transmission,450.9999999999999,transmission_monitor,5,0.02022760983242773,PROPAGATING,PROPAGATING,0.6058602025959285
transmission,450.9999999999999,transmission_monitor,6,0.2242805660637448,PROPAGATING,PROPAGATING,0.8650556048947791
reflection,450.9999999999999,reflection_monitor,-2,0.006008365344587268,EVANESCENT,PROPAGATING,-0.847372705791703
reflection,450.9999999999999,reflection_monitor,-1,0.12335230531456666,PROPAGATING,PROPAGATING,-0.6656319315326351
reflection,450.9999999999999,reflection_monitor,0,0.017247193789404758,PROPAGATING,PROPAGATING,-0.4838911572735673
reflection,450.9999999999999,reflection_monitor,1,0.14566618926478977,PROPAGATING,PROPAGATING,-0.3021503830144995
reflection,450.9999999999999,reflection_monitor,2,0.061875635497229804,PROPAGATING,PROPAGATING,-0.12040960875543161
reflection,450.9999999999999,reflection_monitor,3,0.03535553913746021,PROPAGATING,PROPAGATING,0.06133116550363626
reflection,450.9999999999999,reflection_monitor,4,0.014195539279501145,PROPAGATING,PROPAGATING,0.24307193976270408
reflection,450.9999999999999,reflection_monitor,5,0.08656094524753069,PROPAGATING,PROPAGATING,0.424812714021772
reflection,450.9999999999999,reflection_monitor,6,0.3049420086988563,PROPAGATING,PROPAGATING,0.6065534882808399
reflection,450.9999999999999,reflection_monitor,7,0.0953805012902225,EVANESCENT,PROPAGATING,0.7882942625399076
reflection,450.9999999999999,reflection_monitor,8,0.10941577713585102,EVANESCENT,PROPAGATING,0.9700350367989755
transmission,451.99999999999994,transmission_monitor,-1,0.18160366050570803,PROPAGATING,PROPAGATING,-0.9514171163217807
transmission,451.99999999999994,transmission_monitor,0,0.096219904497373,PROPAGATING,PROPAGATING,-0.6916470013792521
transmission,451.99999999999994,transmission_monitor,1,0.16933665026343656,PROPAGATING,PROPAGATING,-0.4318768864367233
transmission,451.99999999999994,transmission_monitor,2,0.19542829527414263,PROPAGATING,PROPAGATING,-0.17210677149419454
