candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,phase_error_deg,R_top,R_bottom
R2_4B_OPT_06361,453.75,40.0,TE,66.56656446764545,1.0,1.0
R2_4B_OPT_06361,453.75,60.0,TE,159.6276471641289,1.0,1.0
R2_4B_OPT_06361,454.0,20.0,TE,87.65769798665816,0.9999614187708981,0.9999997473531181
R2_4B_OPT_06361,454.0,30.0,TE,126.85685385767015,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,454.0,36.0,TE,156.76232459258793,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,454.0,40.0,TE,71.74233996298534,0.9999999999999998,1.0
R2_4B_OPT_06361,454.0,60.0,TE,159.24108373297523,0.9999999999999998,1.0
R2_4B_OPT_06361,454.25,20.0,TE,88.16105475013521,0.9999615230978193,0.9999997445114982
R2_4B_OPT_06361,454.25,30.0,TE,127.2642016735988,1.0,0.9999999999999998
R2_4B_OPT_06361,454.25,36.0,TE,155.44069776847985,0.9999999999999998,1.0
R2_4B_OPT_06361,454.25,40.0,TE,76.64629091607105,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,454.25,60.0,TE,158.8549359298681,1.0,0.9999999999999998
R2_4B_OPT_06361,454.5,20.0,TE,88.66359133091397,0.9999616240371139,0.9999997416175632
R2_4B_OPT_06361,454.5,30.0,TE,127.66994921185108,0.9999999999999998,1.0
R2_4B_OPT_06361,454.5,36.0,TE,154.21043640485507,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,454.5,40.0,TE,81.29129927160228,1.0,1.0
R2_4B_OPT_06361,454.5,60.0,TE,158.46920308121648,1.0,0.9999999999999998
R2_4B_OPT_06361,454.75,20.0,TE,89.16530702045951,0.9999617216317458,0.9999997386702617
R2_4B_OPT_06361,454.75,30.0,TE,128.0740875684178,1.0,1.0
R2_4B_OPT_06361,454.75,36.0,TE,153.05354398679424,1.0,0.9999999999999998
R2_4B_OPT_06361,454.75,40.0,TE,85.69138348658758,0.9999999999999998,1.0000000000000004
R2_4B_OPT_06361,454.75,60.0,TE,158.0838845148972,0.9999999999999998,1.0
R2_4B_OPT_06361,455.0,20.0,TE,89.66620111093117,0.9999618159235013,0.9999997356685159
R2_4B_OPT_06361,455.0,30.0,TE,128.47660764675814,0.9999999999999998,1.0
R2_4B_OPT_06361,455.0,36.0,TE,151.9550703577922,0.9999999999999996,1.0
R2_4B_OPT_06361,455.0,40.0,TE,89.86121887907585,1.0,0.9999999999999998
R2_4B_OPT_06361,455.0,60.0,TE,157.69897956025028,1.0,0.9999999999999998
R2_4B_OPT_06361,455.25,20.0,TE,90.16627289498601,0.9999619069530228,0.9999997326112257
R2_4B_OPT_06361,455.25,30.0,TE,128.877500152644,0.9999999999999998,1.0
R2_4B_OPT_06361,455.25,36.0,TE,150.90240692651656,1.0,1.0
R2_4B_OPT_06361,455.25,40.0,TE,93.81573589918645,0.9999999999999998,1.0
R2_4B_OPT_06361,455.25,60.0,TE,157.3144875480754,1.0,1.0
R2_4B_OPT_06361,455.5,20.0,TE,90.66552166558866,0.9999619947598306,0.9999997294972608
R2_4B_OPT_06361,455.5,30.0,TE,129.27675558881955,1.0,1.0
R2_4B_OPT_06361,455.5,36.0,TE,149.88475687383837,0.9999999999999996,0.9999999999999998
R2_4B_OPT_06361,455.5,40.0,TE,97.56980178586169,1.0000000000000004,0.9999999999999996
R2_4B_OPT_06361,455.5,60.0,TE,156.93040781062837,1.0000000000000004,1.0
R2_4B_OPT_06361,455.75,20.0,TE,91.16394671581406,0.9999620793823533,0.9999997263254675
R2_4B_OPT_06361,455.75,30.0,TE,129.6743642494749,1.0,0.9999999999999998
R2_4B_OPT_06361,455.75,36.0,TE,148.89273060321815,1.0,1.0
R2_4B_OPT_06361,455.75,40.0,TE,101.13798066790257,1.0,1.0
R2_4B_OPT_06361,455.75,60.0,TE,156.5467396816166,1.0,0.9999999999999998
R2_4B_OPT_06361,456.0,20.0,TE,91.66154733866087,0.9999621608579535,0.9999997230946621
R2_4B_OPT_06361,456.0,30.0,TE,130.0703162145202,0.9999999999999996,1.0
