frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,material_name
574095093833780.2,522.1999999999999,5.4939569839,0.3338810999999999,2.345,0.07118999999999999,APCD_GAN_NATIVE_M1
578091474960951.9,518.5899999999999,5.506090604399998,0.3364580319999999,2.347599999999999,0.07166,APCD_GAN_NATIVE_M1
582087369667786.4,515.03,5.5182358604,0.339086856,2.3502,0.07214,APCD_GAN_NATIVE_M1
586081596027526,511.5199999999998,5.530392723099997,0.3417677279999998,2.352799999999999,0.07262999999999999,APCD_GAN_NATIVE_M1
590084554669816,508.05,5.543033715599998,0.3444683199999999,2.3555,0.07311999999999999,APCD_GAN_NATIVE_M1
594083700929393.9,504.63,5.5556873356,0.347221368,2.3582,0.07362,APCD_GAN_NATIVE_M1
598077760044687.4,501.26,5.568353553099998,0.3500270339999999,2.3609,0.07412999999999999,APCD_GAN_NATIVE_M1
602077516920049,497.93,5.581505067499999,0.3529004099999999,2.3637,0.07464999999999998,APCD_GAN_NATIVE_M1
606069863539876.8,494.6499999999999,5.594671721099999,0.35577961,2.3665,0.07517,APCD_GAN_NATIVE_M1
610065847255855.5,491.41,5.60832587,0.3587271599999999,2.3694,0.07569999999999999,APCD_GAN_NATIVE_M1
614064558284344.9,488.21,5.621994752400002,0.3617283040000001,2.372300000000001,0.07623999999999999,APCD_GAN_NATIVE_M1
618065061333883.2,485.0499999999999,5.635679871599999,0.3647357119999999,2.3752,0.07677999999999999,APCD_GAN_NATIVE_M1
622066395534621.2,481.9299999999999,5.649853764399999,0.3678599759999999,2.3782,0.07733999999999999,APCD_GAN_NATIVE_M1
626054500271478.1,478.86,5.6645197219,0.3710541659999999,2.3813,0.07790999999999998,APCD_GAN_NATIVE_M1
630054344079694.1,475.8199999999999,5.679204249599998,0.3742554239999998,2.384399999999999,0.07847999999999998,APCD_GAN_NATIVE_M1
634051981726661.2,472.82,5.6939041851,0.37755925,2.3875,0.07906999999999999,APCD_GAN_NATIVE_M1
638059929764818.6,469.8499999999999,5.709099181099998,0.3809341379999999,2.390699999999999,0.07967,APCD_GAN_NATIVE_M1
642050110294905,466.93,5.7247927271,0.3843327599999999,2.394,0.08026999999999998,APCD_GAN_NATIVE_M1
646048741487802.9,464.0399999999999,5.74050248,0.38788314,2.3973,0.08089999999999999,APCD_GAN_NATIVE_M1
650041106702226.9,461.1899999999999,5.7567133491,0.3914581420000001,2.4007,0.08153000000000001,APCD_GAN_NATIVE_M1
654040312411370.6,458.3700000000001,5.772943257599998,0.3951378759999998,2.404099999999999,0.08217999999999999,APCD_GAN_NATIVE_M1
658045695596821.8,455.5799999999999,5.7901568244,0.398907736,2.4077,0.08283999999999998,APCD_GAN_NATIVE_M1
662041953934147.5,452.83,5.807392099599999,0.4027835519999999,2.4113,0.08352,APCD_GAN_NATIVE_M1
