geometry_id,wavelength_nm,metric,p_value,s_value,delta_p_minus_s,abs_delta
K6X_D100_D115_D130_D145_D155_D185,454,tx_0,0.004259086679667234,0.002100141253322363,0.0021589454263448715,0.0021589454263448715
K6X_D100_D115_D130_D145_D155_D185,454,tx_1,0.8340223431587219,0.831355631351471,0.0026667118072509766,0.0026667118072509766
K6X_D100_D115_D130_D145_D155_D185,454,tx_2,0.015021180734038353,0.00856009591370821,0.006461084820330143,0.006461084820330143
K6X_D100_D115_D130_D145_D155_D185,454,tx_3,0.0205884650349617,0.01257537305355072,0.00801309198141098,0.00801309198141098
K6X_D100_D115_D130_D145_D155_D185,455,T,0.8983105313606167,0.8649861420457394,0.033324389314877245,0.033324389314877245
K6X_D100_D115_D130_D145_D155_D185,455,R,0.10087188307910494,0.13508410216639227,-0.03421221908728733,0.03421221908728733
K6X_D100_D115_D130_D145_D155_D185,455,eta_plus1,0.8427633120161492,0.8159418755256098,0.026821436490539363,0.026821436490539363
K6X_D100_D115_D130_D145_D155_D185,455,eta_0,0.003750394581786903,0.001860338135488804,0.0018900564462980992,0.0018900564462980992
K6X_D100_D115_D130_D145_D155_D185,455,eta_minus1,0.009973657107862844,0.012414460286557436,-0.002440803178694592,0.002440803178694592
K6X_D100_D115_D130_D145_D155_D185,455,directionality,0.9883039466224757,0.9850131401791167,0.0032908064433589956,0.0032908064433589956
K6X_D100_D115_D130_D145_D155_D185,455,tx_-3,0.00624921265989542,0.002860462060198188,0.0033887505996972322,0.0033887505996972322
K6X_D100_D115_D130_D145_D155_D185,455,tx_-2,0.002729469910264015,0.007423168048262596,-0.004693698137998581,0.004693698137998581
K6X_D100_D115_D130_D145_D155_D185,455,tx_-1,0.009973657317459583,0.012414460070431232,-0.002440802752971649,0.002440802752971649
K6X_D100_D115_D130_D145_D155_D185,455,tx_0,0.0037503945641219616,0.0018603381467983127,0.001890056417323649,0.001890056417323649
K6X_D100_D115_D130_D145_D155_D185,455,tx_1,0.8427633047103882,0.8159418702125549,0.026821434497833252,0.026821434497833252
K6X_D100_D115_D130_D145_D155_D185,455,tx_2,0.013735414482653141,0.011285129934549332,0.0024502845481038094,0.0024502845481038094
K6X_D100_D115_D130_D145_D155_D185,455,tx_3,0.019109070301055908,0.013200707733631134,0.005908362567424774,0.005908362567424774
K6X_D100_D130_D135_D155_D160_D225,445,T,0.8541071177781783,0.8398897035107306,0.014217414267447714,0.014217414267447714
K6X_D100_D130_D135_D155_D160_D225,445,R,0.14574390535878923,0.1599173898771283,-0.01417348451833908,0.01417348451833908
K6X_D100_D130_D135_D155_D160_D225,445,eta_plus1,0.5723249082978095,0.5835137532880088,-0.011188844990199343,0.011188844990199343
K6X_D100_D130_D135_D155_D160_D225,445,eta_0,0.011963960308042301,0.01092767508893958,0.0010362852191027217,0.0010362852191027217
K6X_D100_D130_D135_D155_D160_D225,445,eta_minus1,0.009503699433470021,0.0138767750271974,-0.004373075593727379,0.004373075593727379
K6X_D100_D130_D135_D155_D160_D225,445,directionality,0.9836658092998765,0.9767710159946233,0.006894793305253111,0.006894793305253111
K6X_D100_D130_D135_D155_D160_D225,445,tx_-3,0.021357158198952675,0.017354324460029602,0.004002833738923073,0.004002833738923073
K6X_D100_D130_D135_D155_D160_D225,445,tx_-2,0.15600267052650452,0.09787783026695251,0.058124840259552,0.058124840259552
K6X_D100_D130_D135_D155_D160_D225,445,tx_-1,0.009503699839115143,0.013876775279641151,-0.004373075440526009,0.004373075440526009
K6X_D100_D130_D135_D155_D160_D225,445,tx_0,0.011963960714638233,0.010927675291895866,0.0010362854227423668,0.0010362854227423668
K6X_D100_D130_D135_D155_D160_D225,445,tx_1,0.5723249316215515,0.5835137367248535,-0.011188805103302002,0.011188805103302002
K6X_D100_D130_D135_D155_D160_D225,445,tx_2,0.02853495068848133,0.0546199195086956,-0.02608496882021427,0.02608496882021427
K6X_D100_D130_D135_D155_D160_D225,445,tx_3,0.05441977456212044,0.06171942874789238,-0.007299654185771942,0.007299654185771942
K6X_D100_D130_D135_D155_D160_D225,446,T,0.8461344152133722,0.8497215186206453,-0.0035871034072730845,0.0035871034072730845
K6X_D100_D130_D135_D155_D160_D225,446,R,0.1534247704051309,0.1504467220955512,0.0029780483095796784,0.0029780483095796784
K6X_D100_D130_D135_D155_D160_D225,446,eta_plus1,0.5667730378856092,0.5969194290161967,-0.03014639113058748,0.03014639113058748
K6X_D100_D130_D135_D155_D160_D225,446,eta_0,0.014093290509367487,0.013045273919867779,0.0010480165894997083,0.0010480165894997083
K6X_D100_D130_D135_D155_D160_D225,446,eta_minus1,0.011467823510195811,0.012738872102107108,-0.0012710485919112963,0.0012710485919112963
K6X_D100_D130_D135_D155_D160_D225,446,directionality,0.9801677393006889,0.9791048984673217,0.0010628408333671624,0.0010628408333671624
K6X_D100_D130_D135_D155_D160_D225,446,tx_-3,0.02276565320789814,0.017214640974998474,0.005551012232899666,0.005551012232899666
K6X_D100_D130_D135_D155_D160_D225,446,tx_-2,0.1548832505941391,0.1058444082736969,0.0490388423204422,0.0490388423204422
K6X_D100_D130_D135_D155_D160_D225,446,tx_-1,0.011467823758721352,0.012738872319459915,-0.0012710485607385635,0.0012710485607385635
K6X_D100_D130_D135_D155_D160_D225,446,tx_0,0.014093290083110332,0.013045273721218109,0.0010480163618922234,0.0010480163618922234
K6X_D100_D130_D135_D155_D160_D225,446,tx_1,0.5667730569839478,0.5969194173812866,-0.030146360397338867,0.030146360397338867
K6X_D100_D130_D135_D155_D160_D225,446,tx_2,0.02438514307141304,0.0478961206972599,-0.023510977625846863,0.023510977625846863
K6X_D100_D130_D135_D155_D160_D225,446,tx_3,0.05176621302962303,0.05606277287006378,-0.00429655984044075,0.00429655984044075
K6X_D100_D130_D135_D155_D160_D225,447,T,0.8192509102635384,0.8558821447703331,-0.03663123450679473,0.03663123450679473
K6X_D100_D130_D135_D155_D160_D225,447,R,0.18050844071889155,0.1440918577952689,0.036416582923622653,0.036416582923622653
K6X_D100_D130_D135_D155_D160_D225,447,eta_plus1,0.5298544542145659,0.6069148611990657,-0.07706040698449979,0.07706040698449979
K6X_D100_D130_D135_D155_D160_D225,447,eta_0,0.020846992819094575,0.014715415302991449,0.006131577516103126,0.006131577516103126
K6X_D100_D130_D135_D155_D160_D225,447,eta_minus1,0.016734474875284285,0.0119530635651871,0.004781411310097185,0.004781411310097185
K6X_D100_D130_D135_D155_D160_D225,447,directionality,0.9693838020042785,0.9806855985148359,-0.011301796510557405,0.011301796510557405
K6X_D100_D130_D135_D155_D160_D225,447,tx_-3,0.026701465249061584,0.017145883291959763,0.009555581957101822,0.009555581957101822
K6X_D100_D130_D135_D155_D160_D225,447,tx_-2,0.1512363702058792,0.11305254697799683,0.038183823227882385,0.038183823227882385
K6X_D100_D130_D135_D155_D160_D225,447,tx_-1,0.016734475269913673,0.011953063309192657,0.004781411960721016,0.004781411960721016
K6X_D100_D130_D135_D155_D160_D225,447,tx_0,0.02084699273109436,0.014715415425598621,0.006131577305495739,0.006131577305495739
K6X_D100_D130_D135_D155_D160_D225,447,tx_1,0.5298544764518738,0.6069148778915405,-0.07706040143966675,0.07706040143966675
K6X_D100_D130_D135_D155_D160_D225,447,tx_2,0.022463731467723846,0.04156207665801048,-0.019098345190286636,0.019098345190286636
K6X_D100_D130_D135_D155_D160_D225,447,tx_3,0.05141341686248779,0.05053829774260521,0.0008751191198825836,0.0008751191198825836
K6X_D100_D130_D135_D155_D160_D225,448,T,0.7269062965457966,0.8595280127706865,-0.13262171622488983,0.13262171622488983
K6X_D100_D130_D135_D155_D160_D225,448,R,0.2723518756966284,0.14061454667568368,0.1317373290209447,0.1317373290209447
K6X_D100_D130_D135_D155_D160_D225,448,eta_plus1,0.3792871151414751,0.6152264941939513,-0.23593937905247614,0.23593937905247614
K6X_D100_D130_D135_D155_D160_D225,448,eta_0,0.023967589062393834,0.015718335450381298,0.008249253612012536,0.008249253612012536
K6X_D100_D130_D135_D155_D160_D225,448,eta_minus1,0.021142944722381575,0.011503666477195546,0.009639278245186029,0.009639278245186029
K6X_D100_D130_D135_D155_D160_D225,448,directionality,0.9471994067339249,0.9816449451469247,-0.0344455384129998,0.0344455384129998
K6X_D100_D130_D135_D155_D160_D225,448,tx_-3,0.01989341899752617,0.017156977206468582,0.0027364417910575867,0.0027364417910575867
K6X_D100_D130_D135_D155_D160_D225,448,tx_-2,0.1014629453420639,0.11901899427175522,-0.017556048929691315,0.017556048929691315
K6X_D100_D130_D135_D155_D160_D225,448,tx_-1,0.02114294469356537,0.011503666639328003,0.009639278054237366,0.009639278054237366
K6X_D100_D130_D135_D155_D160_D225,448,tx_0,0.02396758832037449,0.015718335285782814,0.008249253034591675,0.008249253034591675
K6X_D100_D130_D135_D155_D160_D225,448,tx_1,0.37928712368011475,0.6152265071868896,-0.2359393835067749,0.2359393835067749
K6X_D100_D130_D135_D155_D160_D225,448,tx_2,0.06944521516561508,0.035553302615880966,0.033891912549734116,0.033891912549734116
