candidate_path,name,extension,category,size_bytes,last_modified,baseline_role,confidence,score,evidence,needs_gui_lumerical_audit
F:\wc_312\MDC_blue_oujizi_source1\source1_9.fsp,source1_9.fsp,.fsp,heavy_binary_not_opened,728750,2026-04-05T15:23:34,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_90.fsp,source1_90.fsp,.fsp,heavy_binary_not_opened,1254891,2026-04-02T19:07:31,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_91.fsp,source1_91.fsp,.fsp,heavy_binary_not_opened,1254891,2026-04-02T19:07:31,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_92.fsp,source1_92.fsp,.fsp,heavy_binary_not_opened,1246027,2026-04-02T19:07:31,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_93.fsp,source1_93.fsp,.fsp,heavy_binary_not_opened,1237115,2026-04-02T19:07:45,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_94.fsp,source1_94.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:07:45,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_95.fsp,source1_95.fsp,.fsp,heavy_binary_not_opened,1259371,2026-04-02T19:07:45,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_96.fsp,source1_96.fsp,.fsp,heavy_binary_not_opened,1237115,2026-04-02T19:07:45,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_97.fsp,source1_97.fsp,.fsp,heavy_binary_not_opened,1246003,2026-04-02T19:07:59,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_98.fsp,source1_98.fsp,.fsp,heavy_binary_not_opened,1281579,2026-04-02T19:08:00,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_99.fsp,source1_99.fsp,.fsp,heavy_binary_not_opened,1277147,2026-04-02T19:08:00,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
