geometry_uid,wavelength_nm,useful_power,DoLP,x_fidelity,leakage,rank_contrast,rank_one_error,total_power
H1C1B_V2_010,448.0,0.4886543259190328,0.4953717356637979,0.7472284761828172,0.16530138039358164,1.7298644555833729,0.5780799742849008,0.6539557063126145
H1C1B_V2_010,449.0,0.5085852040114671,0.5261975726219453,0.7612262836733984,0.15952783270242796,1.809261673788069,0.5527116472357977,0.6681130367138951
H1C1B_V2_010,450.0,0.46920773467794946,0.8393500499615614,0.901437825848817,0.05130263356195814,3.9912130058319275,0.25055039621759306,0.5205103682399076
H1C1B_V2_010,451.0,0.5242243771349788,0.7794892151805918,0.8894315987149471,0.06516819435942213,2.840852717214426,0.35200698506487216,0.5893925714944009
H1C1B_V2_010,452.0,0.368424195850562,0.8269621117168277,0.911953045750372,0.035570502744271586,3.2502245994271677,0.3076710453106053,0.4039946985948336
H1C1B_V2_010,453.0,0.4156941549128911,0.9215893184705957,0.9605618113829544,0.01706732902992952,4.951928319577871,0.2019415337751184,0.4327614839428206
H1C1B_V2_010,454.0,0.11076517039320924,0.9661779869020404,0.9820291826841863,0.0020269668938458496,7.698745669593646,0.12989128916799011,0.11279213728705509
H1C1B_V2_010,455.0,0.07392721615405198,0.908547788231725,0.9542553709431838,0.003543886870479588,4.731613544966859,0.2113443945699509,0.07747110302453157
H1C1B_V2_010,456.0,0.26700011805804263,0.8306813135458768,0.9146964729871396,0.02490011982753253,3.3072590393305115,0.30236518763962017,0.2919002378855752
H1C1B_V2_010,457.0,0.362055612524837,0.6636539650224316,0.8316426140119132,0.07329438809411948,2.2254458732019518,0.44934815626911156,0.43535000061895646
H1C1B_V2_010,458.0,0.39636275629707324,0.4974059389301613,0.7484885709123934,0.1331880901693124,1.7272650977228876,0.5789499257052864,0.5295508464663856
H1C1B_V2_010,459.0,0.4204096298857923,0.35465042369931987,0.676908258302761,0.20066364663162245,1.4493268103447863,0.6899755064643466,0.6210732765174147
H1C1B_V2_010,460.0,0.4397877786463402,0.24330794951445692,0.6216535364862066,0.26766058741969656,1.2818937238251824,0.780095870206768,0.7074483660660368
H1C1B_V2_010,461.0,0.4397355750731152,0.16565749622543194,0.5824624824098928,0.3152239087613521,1.1822534002854805,0.8458423547426707,0.7549594838344673
H1C1B_V2_010,462.0,0.4530650765871994,0.11404420881920242,0.5569731144545454,0.36037647890133584,1.1214032278806576,0.8917398979579382,0.8134415554885353
H1C1B_V2_010,463.0,0.45934011386202406,0.07738201447637993,0.5385611524021738,0.3935623129342723,1.0806283089146693,0.9253875655028431,0.8529024267962964
H1C1B_V2_010,464.0,0.4494982363727753,0.04777646341344057,0.5224302103024919,0.41090039201533357,1.0491421287166565,0.9531597031788547,0.8603986283881089
H1C1B_V2_010,465.0,0.45745143410477723,0.03441060435329163,0.514105922914164,0.43234853457046035,1.0350857142578695,0.9661035663282966,0.8897999686752376
