angle_minus_positive_target_deg,angle_deg,incoherent_intensity_proxy
-88.15381714078168,-52.08231557363882,3.4702033656541628e-06
-88.06063242068666,-51.9891308535438,3.609650151940041e-06
-87.96764120273515,-51.8961396355923,3.755176953217673e-06
-87.87484204302558,-51.80334047588273,3.905834055729826e-06
-87.78223351451494,-51.71073194737209,4.0605425821312656e-06
-87.6898142067439,-51.61831263960105,4.2180786283875e-06
-87.5975827255673,-51.526081158424454,4.377061912360138e-06
-87.50553769289067,-51.43403612574782,4.535950723628474e-06
-87.41367774641168,-51.342176179268826,4.693044719506799e-06
-87.32200153936742,-51.25049997222457,4.846496771855405e-06
-87.2305077402865,-51.15900617314364,4.994334647919679e-06
-87.13919503274627,-51.067693465603426,5.134492825010394e-06
-87.04806211513514,-50.97656054799229,5.264854215629189e-06
-86.95710770041941,-50.88560613327656,5.383301041228317e-06
-86.86633051591505,-50.7948289487722,5.487773564943394e-06
-86.77572930306388,-50.70422773592103,5.576334902121856e-06
-86.68530281721425,-50.613801250071404,5.647239696862958e-06
-86.59504982740614,-50.5235482602633,5.699004105315511e-06
-86.50496911616042,-50.43346754901757,5.730474280979688e-06
-86.41505947927223,-50.34355791212937,5.740890428261502e-06
-86.3253197256085,-50.253818158465634,5.729943487549033e-06
-86.23574867690937,-50.16424710976652,5.69782164212609e-06
-86.14634516759352,-50.07484360045067,5.6452440925611695e-06
-86.05710804456703,-49.985606477424184,5.57347992030675e-06
-85.96803616703633,-49.89653459989347,5.484350346130323e-06
-85.87912840632421,-49.80762683918137,5.380213262715953e-06
-85.79038364568997,-49.71888207854712,5.263929562126835e-06
-85.70180078015233,-49.63029921300947,5.1388114622994474e-06
-85.61337871631613,-49.54187714917329,5.008553734613449e-06
-85.52511637220232,-49.45361480505946,4.8771494180645615e-06
-85.43701267708063,-49.36551110993778,4.748792246067477e-06
-85.34906657130607,-49.277565004163215,4.62776858225921e-06
-85.26127700615797,-49.18977543901511,4.518342137284529e-06
-85.17364294368211,-49.10214137653926,4.424635098515527e-06
-85.08616335653596,-49.01466178939312,4.3505095326539835e-06
-84.9988372278365,-48.92733566069365,4.299453006153368e-06
-84.91166355101092,-48.840161983868065,4.274472305128465e-06
-84.8246413296502,-48.753139762507345,4.277998925679729e-06
-84.73776957736506,-48.666268010222204,4.311809654150078e-06
-84.6510473176448,-48.57954575050194,4.376965077308143e-06
-84.5644735837184,-48.49297201657554,4.473768272604508e-06
-84.4780474184184,-48.406545851275546,4.601745250767474e-06
-84.39176787404699,-48.320266306904145,4.75964798296434e-06
-84.30563401224461,-48.23413244510175,4.945480070927101e-06
-84.21964490386077,-48.14814333671792,5.156544340538652e-06
-84.13379962882732,-48.06229806168447,5.3895108872131025e-06
-84.04809727603376,-47.9765957088909,5.64050340368378e-06
-83.96253694320482,-47.89103537606197,5.905201003955143e-06
-83.87711773678028,-47.805616169637425,6.178952244251417e-06
-83.79183877179662,-47.72033720465376,6.456897651611773e-06
-83.70669917177099,-47.63519760462815,6.734096817150298e-06
-83.62169806858707,-47.55019650144421,7.005656002217955e-06
-83.5368346023828,-47.465333035239944,7.266852244278762e-06
-83.45210792144023,-47.38060635429738,7.513250131919738e-06
-83.36751718207707,-47.29601561493421,7.74080773610711e-06
-83.28306154854016,-47.211559981397315,7.94596862344558e-06
-83.19874019290083,-47.12723862575797,8.12573741812219e-06
-83.11455229495172,-47.04305072780886,8.277737000036468e-06
-83.03049704210578,-46.958995474962926,8.400246102207417e-06
-82.94657362929667,-46.875072062153805,8.49221677410014e-06
-82.86278125888072,-46.791279691737856,8.55327188166864e-06
-82.77911914054089,-46.70761757339803,8.583683492867995e-06
-82.69558649119199,-46.624084924049136,8.584333623991693e-06
-82.61218253488761,-46.540680967744755,8.556659374912568e-06
-82.52890650272855,-46.45740493558569,8.502584941110855e-06
-82.44575763277273,-46.37425606562987,8.424443342408296e-06
-82.36273516994663,-46.29123360280377,8.32489094242986e-06
-82.27983836595811,-46.20833679881527,8.206817943810557e-06
-82.19706647921069,-46.12556491206784,8.073258031950015e-06
