topology_family,N,H_nm,L_nm,C_nm,M,total_thickness_nm,physical_layer_count,count,FWHM_min,FWHM_median,FWHM_max,T450_min,T450_median,T450_max,T448_min,T448_median,T448_max,T453_min,T453_median,T453_max,ratio_min,ratio_median,ratio_max
Explicit,4,47,81,160,,1184,17,1,2.5,2.5,2.5,0.005455304344465524,0.005455304344465524,0.005455304344465524,0.007130764043053316,0.007130764043053316,0.007130764043053316,0.011733454075012587,0.011733454075012587,0.011733454075012587,1.8120671006522389,1.8120671006522389,1.8120671006522389
Explicit,4,47,81,161,,1185,17,1,2.0,2.0,2.0,0.004756461181820357,0.004756461181820357,0.004756461181820357,0.006088751929268198,0.006088751929268198,0.006088751929268198,0.009580164027060353,0.009580164027060353,0.009580164027060353,1.452772860951941,1.452772860951941,1.452772860951941
Explicit,4,47,81,162,,1186,17,1,2.0,2.0,2.0,0.004186711478575696,0.004186711478575696,0.004186711478575696,0.0052629464815034666,0.0052629464815034666,0.0052629464815034666,0.007973534820437021,0.007973534820437021,0.007973534820437021,1.178021653693711,1.178021653693711,1.178021653693711
Explicit,4,47,82,152,,1184,17,1,2.0,2.0,2.0,0.02370836421170407,0.02370836421170407,0.02370836421170407,0.043509875954316844,0.043509875954316844,0.043509875954316844,0.18849573971992456,0.18849573971992456,0.18849573971992456,21.468162092102972,21.468162092102972,21.468162092102972
Explicit,4,47,82,153,,1185,17,1,2.0,2.0,2.0,0.018000584320981554,0.018000584320981554,0.018000584320981554,0.03019823923239933,0.03019823923239933,0.03019823923239933,0.09697276781768555,0.09697276781768555,0.09697276781768555,12.916576216656448,12.916576216656448,12.916576216656448
Explicit,4,47,82,154,,1186,17,1,2.0,2.0,2.0,0.014131499318998575,0.014131499318998575,0.014131499318998575,0.02215151654643559,0.02215151654643559,0.02215151654643559,0.05788095848162786,0.05788095848162786,0.05788095848162786,8.511142109910585,8.511142109910585,8.511142109910585
Explicit,4,47,82,155,,1187,17,1,2.0,2.0,2.0,0.011391427808173222,0.011391427808173222,0.011391427808173222,0.016934348490025765,0.016934348490025765,0.016934348490025765,0.03818505116797387,0.03818505116797387,0.03818505116797387,5.9612529270876875,5.9612529270876875,5.9612529270876875
Explicit,4,47,82,156,,1188,17,1,2.5,2.5,2.5,0.00938167821601451,0.00938167821601451,0.00938167821601451,0.013366074473671094,0.013366074473671094,0.013366074473671094,0.0270033159210599,0.0270033159210599,0.0270033159210599,4.359641792219038,4.359641792219038,4.359641792219038
Explicit,4,47,82,157,,1189,17,1,2.0,2.0,2.0,0.007864720961103992,0.007864720961103992,0.007864720961103992,0.010821018014571662,0.010821018014571662,0.010821018014571662,0.020083320947983492,0.020083320947983492,0.020083320947983492,3.291578808662651,3.291578808662651,3.291578808662651
Explicit,4,47,82,158,,1190,17,1,2.0,2.0,2.0,0.0066920754909445546,0.0066920754909445546,0.0066920754909445546,0.008943498653401927,0.008943498653401927,0.008943498653401927,0.015516262149801938,0.015516262149801938,0.015516262149801938,2.5460682124478935,2.5460682124478935,2.5460682124478935
Explicit,4,47,82,159,,1191,17,1,2.0,2.0,2.0,0.00576713842941913,0.00576713842941913,0.00576713842941913,0.007519561961662374,0.007519561961662374,0.007519561961662374,0.01234912366310215,0.01234912366310215,0.01234912366310215,2.006669384479701,2.006669384479701,2.006669384479701
Explicit,4,47,82,160,,1192,17,1,2.5,2.5,2.5,0.0050248988466702355,0.0050248988466702355,0.0050248988466702355,0.0064143936697428445,0.0064143936697428445,0.0064143936697428445,0.010065082600187783,0.010065082600187783,0.010065082600187783,1.604906220329654,1.604906220329654,1.604906220329654
Explicit,4,47,82,161,,1193,17,1,2.0,2.0,2.0,0.004420323845026588,0.004420323845026588,0.004420323845026588,0.005539691746816663,0.005539691746816663,0.005539691746816663,0.008364862741315803,0.008364862741315803,0.008364862741315803,1.2984038358877459,1.2984038358877459,1.2984038358877459
Explicit,4,47,82,162,,1194,17,1,2.0,2.0,2.0,0.00392142987965275,0.00392142987965275,0.00392142987965275,0.004835691276176189,0.004835691276176189,0.004835691276176189,0.007065703473417154,0.007065703473417154,0.007065703473417154,1.0598208878699005,1.0598208878699005,1.0598208878699005
