model,geometry_id,polarization,order_n,mean_hf_minus_model,mae_hf_minus_model,p90_abs_hf_minus_model,max_abs_hf_minus_model
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,p,2,-0.03526000263610441,0.11618729526758997,0.22115001390750116,0.24486609005184515
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,p,3,-0.06816995294714859,0.06938526235391727,0.11773318535316138,0.14932569119020345
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,s,-3,-0.04006479535278787,0.04906505024615248,0.11545386427415179,0.11837716196584339
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,s,-2,-0.02167791985771092,0.028425332391181665,0.05878914117890828,0.06406886003990972
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,s,-1,-0.0067724896371860795,0.009786260840444642,0.010756433884798685,0.047360898131184784
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,s,0,0.06913532564385773,0.11060841222340217,0.20875565447948866,0.22707735740232216
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,s,1,0.08188588502959694,0.08188588502959694,0.15157705633240848,0.1982351085953924
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,s,2,-0.12450345720797715,0.16457578844635012,0.30174214844950115,0.3028233800088451
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,s,3,-0.0221725347359877,0.07548199894203428,0.12087383739766139,0.16403841986920345
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,p,-3,0.02854002610493672,0.02854002610493672,0.029910392291969744,0.02998427016223181
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,p,-2,0.00781302200977259,0.008159489258870027,0.010177268412855156,0.010430797497363725
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,p,-1,0.00941285070784642,0.00941285070784642,0.012234454213407513,0.014433091982408296
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,p,0,0.04633613848710318,0.04633613848710318,0.05068407400089399,0.05084091976017122
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,p,1,-0.16433717466793124,0.16433717466793124,0.19861436176065295,0.20167517608475616
LF_global_bias,K6X_D125_D135_D150_D175_D190_D210,p,2,0.08488218790068994,0.08488218790068994,0.08800738512074954,0.08803410501226785
