model,geometry_id,M7_order_profile_mae,M8_order_profile_mae,delta_order,M7_eta_plus1_mae,M8_eta_plus1_mae,delta_eta_plus1,M7_R_mae,M8_R_mae,delta_R,M7_T_mae,M8_T_mae,delta_T,M7_PS_contrast_mae,M8_PS_contrast_mae,delta_PS_contrast
LF_paired_shared_contrast,K6X_D105_D120_D125_D130_D165_D190,0.0405839893624549,0.02422522907852217,-0.01635876028393273,0.09062415718624481,0.05483854677349893,-0.03578561041274588,0.059401697161379864,0.039639491073843305,-0.01976220608753656,0.045972554766549406,0.024717907801959725,-0.02125464696458968,0.18124831437248964,0.060456230986283416,-0.12079208338620623
LF_paired_shared_contrast,K6X_D110_D125_D135_D150_D175_D190,0.028128267796880265,0.025505086791315364,-0.0026231810055649014,0.07798661853485321,0.08751811351317305,0.009531494978319843,0.05448602862223539,0.05747836932152066,0.0029923406992852716,0.04962583436646906,0.046539422789642536,-0.0030864115768265213,0.1308661723255019,0.10062852819391094,-0.03023764413159097
LF_paired_shared_contrast,K6X_D110_D190_D210_D215_D220_D225,0.026825822932053087,0.029336334769226976,0.0025105118371738892,0.021325490929875544,0.02927033968974874,0.007944848759873196,0.06940692048900227,0.06875322797720489,-0.0006536925117973796,0.04775891967329246,0.0471608271617639,-0.0005980925115285571,0.03575734146662812,0.056024672287582206,0.020267330820954083
LF_paired_shared_contrast,K6X_D120_D125_D180_D185_D190_D195,0.02852274308667689,0.028851622753676275,0.0003288796669993835,0.02551309057073595,0.0559222708246923,0.030409180253956346,0.046111172476802124,0.055487781698076374,0.00937660922127425,0.03665028996745292,0.058746242318505205,0.022095952351052286,0.02815921201072842,0.01899090927775687,-0.009168302732971551
LF_paired_shared_contrast,K6X_D120_D145_D200_D215_D220_D230,0.05538387960304005,0.056830159277472446,0.0014462796744323936,0.06390366557765292,0.11378041686451389,0.04987675128686096,0.07701486285183837,0.07752180015448941,0.0005069373026510421,0.07522833740852147,0.076953353089962,0.0017250156814405254,0.10707342729154529,0.1606807099492402,0.053607282657694905
LF_paired_shared_contrast,K6X_D125_D135_D150_D175_D190_D210,0.014396464560605764,0.012617398475712104,-0.0017790660848936608,0.029337888845426107,0.03523877564855115,0.005900886803125043,0.024307091513006997,0.026575193850684218,0.0022681023376772205,0.029096977529070325,0.02037529734958824,-0.008721680179482084,0.05155187169632747,0.05912409022973812,0.0075722185334106545
LF_paired_shared_contrast,K6X_D130_D145_D155_D180_D195_D230,0.03205281091674211,0.03138237416304611,-0.0006704367536959979,0.12002278776863044,0.12388894397593027,0.0038661562072998257,0.05335452212548621,0.053434345611385076,7.982348589886251e-05,0.05534448131178857,0.05197215438900149,-0.003372326922787078,0.24004557553726089,0.24215766370050068,0.0021120881632397948
LF_paired_shared_contrast,K6X_D140_D160_D165_D170_D180_D190,0.0515043635000686,0.05444976831830225,0.002945404818233646,0.11873052070913964,0.13019814598129678,0.01146762527215714,0.1017026082325604,0.10136204689938176,-0.00034056133317864057,0.09268473919542332,0.09530021206889291,0.002615472873469596,0.23746104141827934,0.26039629196259356,0.022935250544314223
LF_paired_shared_contrast,K6X_D150_D205_D215_D220_D225_D230,0.07309022807093102,0.0559935712224688,-0.01709665684846222,0.16883900911035682,0.11604011772342053,-0.05279889138693629,0.155172878645901,0.14605969654615886,-0.009113182099742156,0.13432765600987007,0.12960166441012294,-0.004725991599747126,0.33065202352672335,0.21492382493119802,-0.11572819859552533
LF_paired_shared_contrast,K6X_D200_D205_D215_D220_D225_D230,0.08199195265078613,0.058290961278935856,-0.02370099137185027,0.2480038230294568,0.15183947276206478,-0.09616435026739203,0.16648474868973598,0.1442449937883111,-0.02223975490142488,0.12458316253851981,0.12825224942874164,0.0036690868902218288,0.49600764605891356,0.30367894552412955,-0.19232870053478401
LF_ridge_residual,K6X_D100_D105_D115_D120_D125_D130,0.019030308160706236,0.03741042557305491,0.018380117412348677,0.012297813246222544,0.08905114399297293,0.07675333074675038,0.04397957414188875,0.026171969172207706,-0.017807604969681045,0.11088782933858354,0.0786030810577739,-0.03228474828080964,0.024595626492445087,0.041694823953684124,0.017099197461239037
LF_ridge_residual,K6X_D100_D110_D115_D220_D225_D230,0.06797058279570363,0.0551143046615903,-0.01285627813411333,0.046933877452672704,0.07554859957675732,0.028614722124084613,0.19904838403382985,0.08000958045341582,-0.11903880358041403,0.028412638937363986,0.04138961824221696,0.012976979304852972,0.041675157999552286,0.05780562891094276,0.016130470911390478
LF_ridge_residual,K6X_D100_D115_D130_D145_D155_D185,0.020596606691147813,0.01647152950081149,-0.004125077190336321,0.06048451459831367,0.05426144893972107,-0.006223065658592604,0.02979814822297354,0.030043824375549907,0.00024567615257636843,0.037554998424814176,0.032850834025966585,-0.004704164398847591,0.11881727203907853,0.10683596817926153,-0.011981303859817008
LF_ridge_residual,K6X_D100_D130_D135_D155_D160_D225,0.07609593018406462,0.10246489041985626,0.026368960235791647,0.22205158699040253,0.18740974382382883,-0.034641843166573705,0.052452738263636084,0.0201754570169381,-0.032277281246697986,0.09553643666378692,0.1097627250848105,0.01422628842102358,0.03581442799345638,0.039809802683946585,0.003995374690490203
