trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-43.53870434356931,2.0420820287843065e-07
case,-0.7,-43.45967800812773,2.2686879407653894e-07
case,-0.7,-43.38075482818059,2.4882015583993683e-07
case,-0.7,-43.30193425165608,2.6965597410380654e-07
case,-0.7,-43.22321573083688,2.8898552353960547e-07
case,-0.7,-43.144598722311514,3.06443140121998e-07
case,-0.7,-43.066082686926286,3.2169731726068014e-07
case,-0.7,-42.987667089738075,3.3445920324701107e-07
case,-0.7,-42.9093513999676,3.4449028813977364e-07
case,-0.7,-42.83113509095352,3.516090839653051e-07
case,-0.7,-42.75301764010706,3.5569662293019344e-07
case,-0.7,-42.674998528867306,3.5670062379543953e-07
case,-0.7,-42.59707724265723,3.5463820606494695e-07
case,-0.7,-42.51925327084009,3.49597064507681e-07
case,-0.7,-42.44152610667673,3.4173505197197193e-07
case,-0.7,-42.36389524728319,3.3127815559430994e-07
case,-0.7,-42.286360193589125,3.185168894303529e-07
case,-0.7,-42.208920450296645,3.0380116428985144e-07
case,-0.7,-42.13157552583987,2.8753373218317e-07
case,-0.7,-42.05432493234481,2.701623373515069e-07
case,-0.7,-41.97716818559011,2.5217073747137605e-07
case,-0.7,-41.90010480496797,2.340687864859802e-07
case,-0.7,-41.82313431344589,2.1638179390787646e-07
case,-0.7,-41.74625623752882,1.9963939376150928e-07
case,-0.7,-41.66947010722175,1.8436416912628676e-07
case,-0.7,-41.59277545599291,1.7106028518188127e-07
case,-0.7,-41.516171820737455,1.6020238458190834e-07
case,-0.7,-41.43965874174155,1.522249938818744e-07
case,-0.7,-41.36323576264706,1.4751267877034619e-07
case,-0.7,-41.28690243041654,1.4639116929749987e-07
case,-0.7,-41.21065829529886,1.4911965460232935e-07
case,-0.7,-41.13450291079522,1.5588442037578e-07
case,-0.7,-41.058435833625545,1.6679397213880367e-07
case,-0.7,-40.9824566236954,1.8187575412861588e-07
case,-0.7,-40.90656484406337,2.0107453800762069e-07
case,-0.7,-40.830760060908744,2.2425251861582598e-07
case,-0.7,-40.755041843499725,2.5119111647681585e-07
case,-0.7,-40.67940976416201,2.815944496323405e-07
case,-0.7,-40.60386339824775,3.1509440148581233e-07
case,-0.7,-40.52840232410505,3.51257177494623e-07
case,-0.7,-40.45302612304761,3.8959121250912957e-07
case,-0.7,-40.37773437932496,4.295562629690355e-07
case,-0.7,-40.30252668009314,4.7057349459080636e-07
case,-0.7,-40.22740261538536,5.120363570557815e-07
case,-0.7,-40.15236177808361,5.533220228615423e-07
case,-0.7,-40.07740376389007,5.938031581300017e-07
case,-0.7,-40.00252817129928,6.328597888530493e-07
case,-0.7,-39.92773460157049,6.698910267597011e-07
case,-0.7,-39.85302265870036,7.04326424554205e-07
case,-0.7,-39.778391949396,7.356367404455563e-07
case,-0.7,-39.70384208304849,7.633439063165488e-07
case,-0.7,-39.62937267170645,7.870300121371926e-07
case,-0.7,-39.55498333005027,8.063451408210482e-07
case,-0.7,-39.48067367536635,8.210139121126079e-07
case,-0.7,-39.40644332752186,8.30840620704211e-07
case,-0.7,-39.3322919089398,8.357128820182038e-07
case,-0.7,-39.25821904457424,8.356037283557411e-07
case,-0.7,-39.18422436188597,8.305721278179542e-07
case,-0.7,-39.11030749081844,8.207619279789745e-07
case,-0.7,-39.03646806377397,8.063992551947753e-07
case,-0.7,-38.96270571559022,7.877884281676588e-07
case,-0.7,-38.889020083517025,7.653064704996721e-07
case,-0.7,-38.815410807193416,7.393963310563598e-07
case,-0.7,-38.74187752862501,7.10558942675946e-07
case,-0.7,-38.66841989216162,6.793442688046905e-07
case,-0.7,-38.59503754447513,6.463415037791006e-07
case,-0.7,-38.52173013453765,6.121686055273107e-07
case,-0.7,-38.44849731359993,5.774613492961144e-07
case,-0.7,-38.37533873517005,5.428620975486995e-07
case,-0.7,-38.302254054992304,5.09008484391755e-07
case,-0.7,-38.22924293102639,4.76522212795095e-07
case,-0.7,-38.15630502342689,4.459981595213018e-07
case,-0.7,-38.08343999452283,4.179939761858689e-07
case,-0.7,-38.010647508797625,3.9302036535631633e-07
case,-0.7,-37.93792723286927,3.715321982434202e-07
case,-0.7,-37.8652788354706,3.539206255440234e-07
case,-0.7,-37.79270198743,3.405063155992556e-07
case,-0.7,-37.720196361652135,3.3153393450078397e-07
case,-0.7,-37.647761633099066,3.271679614053318e-07
case,-0.7,-37.57539747877144,3.274899094249636e-07
case,-0.7,-37.50310357769009,3.324969983926038e-07
case,-0.7,-37.43087961087758,3.4210230092557763e-07
case,-0.7,-37.35872526134026,3.561363579098971e-07
case,-0.7,-37.28664021405025,3.7435023420456943e-07
case,-0.7,-37.21462415592782,3.9641996042839524e-07
case,-0.7,-37.14267677582391,4.2195228255655725e-07
case,-0.7,-37.07079776450282,4.5049161813427224e-07
case,-0.7,-36.99898681462517,4.815280966152301e-07
case,-0.7,-36.92724362073092,5.145065420431683e-07
case,-0.7,-36.85556787922277,5.488362393817573e-07
case,-0.7,-36.783959288349536,5.839013115954208e-07
case,-0.7,-36.71241754818993,6.19071523386175e-07
case,-0.7,-36.640942360636316,6.53713319545819e-07
case,-0.7,-36.569533429378794,6.872009013804387e-07
